/* DATA DESCRIPTION:
Citation:	Hörstmann, Cora; Raes, Eric J; Waite, Anya M (2018): Pigment concentration in the South Indian Ocean and the French Southern and Antarctic Lands, Marion Dufresne cruise MD206 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.885895, 
	In: Hörstmann, C et al. (2018): Nitrogen and carbon processes in the South Indian Ocean and the French Southern and Antarctic Lands [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.885896
Coverage:	MEDIAN LATITUDE: -43.308433 * MEDIAN LONGITUDE: 63.593566 * SOUTH-BOUND LATITUDE: -56.498500 * WEST-BOUND LONGITUDE: 52.002500 * NORTH-BOUND LATITUDE: -27.999830 * EAST-BOUND LONGITUDE: 76.406830
	DATE/TIME START: 2017-01-06T17:25:00 * DATE/TIME END: 2017-02-06T10:15:00
Event(s):	MD206_OISO2 * LATITUDE: -30.000500 * LONGITUDE: 54.099830 * DATE/TIME START: 2017-01-06T17:25:00 * DATE/TIME END: 2017-01-06T18:00:00 * LOCATION: Indian Ocean * CAMPAIGN: MD206 (URI: https://doi.org/10.17600/17002400) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Multiple investigations (MULT)
	MD206_OISO3 * LATITUDE: -34.999670 * LONGITUDE: 53.499330 * DATE/TIME: 2017-01-07T21:50:00 * LOCATION: Indian Ocean * CAMPAIGN: MD206 (URI: https://doi.org/10.17600/17002400) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Multiple investigations (MULT)
	MD206_OISO4 * LATITUDE: -40.001500 * LONGITUDE: 52.789500 * DATE/TIME START: 2017-01-09T07:45:00 * DATE/TIME END: 2017-01-09T08:15:00 * LOCATION: Indian Ocean * CAMPAIGN: MD206 (URI: https://doi.org/10.17600/17002400) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Multiple investigations (MULT)
	MD206_OISO6 * LATITUDE: -45.000170 * LONGITUDE: 52.102330 * DATE/TIME START: 2017-01-10T22:05:00 * DATE/TIME END: 2017-01-10T22:45:00 * LOCATION: Indian Ocean * CAMPAIGN: MD206 (URI: https://doi.org/10.17600/17002400) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Multiple investigations (MULT)
	MD206_OISO7 * LATITUDE: -47.667330 * LONGITUDE: 58.003500 * DATE/TIME START: 2017-01-19T17:45:00 * DATE/TIME END: 2017-01-19T18:50:00 * LOCATION: Indian Ocean * CAMPAIGN: MD206 (URI: https://doi.org/10.17600/17002400) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Multiple investigations (MULT)
	MD206_OISO9 * LATITUDE: -48.501500 * LONGITUDE: 64.999170 * DATE/TIME: 2017-01-21T17:15:00 * LOCATION: Indian Ocean * CAMPAIGN: MD206 (URI: https://doi.org/10.17600/17002400) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Multiple investigations (MULT)
